Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
Infra.Market,Thane,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,InnoVen Capital,2021,6000000.0,Debt Financing,E-Commerce and Retail
ReadyAssist,Bengaluru,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Satish Grampurohit,2021,1000000.0,Seed Round,Transportation and Mobility
Ergos,Samsitpur,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"CDC Group, Aavishkaar Venture Capital",2021,3000000.0,Series A,Agriculture and Food
Wright Research,Mumbai,Quantitative Investment Management and Research,"Ajat Hukkoo, Piyush Chaplot",2021,0.0,Pre-Seed,Advisory firm
Toothsi,Mumbai,ToothSi is a new age startup in the dental space providing smile correction services at home.,Think Investments,2021,5000000.0,Series A,Healthcare and Wellness
Jumbotail,Bengaluru,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",2021,14300000.0,Series B,Agriculture and Food
Phi Commerce,Pune,"Payments Facilitator, Payments solution provider etc.","Yatra Angel Network, BEENEXT",2021,4000000.0,Series A,Finance and FinTech
Finsall,Bengaluru,Finsall provides Insurance Premium Financing,Unicorn India Ventures,2021,300000.0,Seed Round,Technology
Practically,Telangana,"Making Learning personal, immersive and experiental",Siana Capital,2021,4000000.0,Pre-Series A,Education
Cred,Bengaluru,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,"DST Global, General Catalyst",2021,81000000.0,Series C,Finance and FinTech
Zerone,Gurgaon,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Anthill Ventures,2021,1300000.0,Pre-Series A,Finance and FinTech
boAt,Mumbai,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"InnoVen Capital, InnoVen Capita",2021,100000000.0,Pe,Consumer Goods
Kyt,Bengaluru,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",Alpha Wave Incubation,2021,5000000.0,Series A,Education
BharatPe,New Delhi,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Steadview Capital, Insight Partners",2021,8200000.0,Debt Financing,Finance and FinTech
CropIn,Bengaluru,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,"Invested Development, Pratithi Investment Trust",2021,20000000.0,Series C,Agriculture and Food
Vanity Wagon,Chandigarh,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.","Dhianu Das, Agility Venture Partners",2021,200000.0,Seed Round,Cosmetics
Oyo,Gurgaon,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,2021,7000000.0,Series F1,Technology
Agri10x,Pune,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,Omnivore,2021,0.0,Seed Round,Agriculture and Food
HobSpace,Mumbai,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Siddharth Bhaskar Shah, Upsparks",2021,100000.0,Pre-Series A,Education
KiranaKart,Mumbai,A better model for instant grocery delivery in India.,Global Founders Capital,2021,720000.0,Pre-Seed,E-Commerce and Retail
Meddo,Gurgaon,Meddo is an end-to-end medical services provider,"growX ventures, Venture Gurukool",2021,3000000.0,Pre-Series A,Healthcare and Wellness
SP Robotic Works,Chennai,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,Mount Judi India Growth Fund,2021,3000000.0,Series A,Education
3SC,Gurugram,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,GEF Capital’s South Asia Fund,2021,15000000.0,Series B,Transportation and Mobility
Minimalist,Jaipur,Affordable skincare for all,Sequoia Capital,2021,10000000.0,Series A,Cosmetics
Fixcraft,Gurugram,India's Most Trusted Automotive Repair Brand,Undisclosed,2021,1000000.0,Pre-Series A,Transportation and Mobility
90+ My Tuition App,Bengaluru,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Pearl Investment LLC,2021,5000000.0,Series A,Education
Wasabi,Bengaluru,Help small businesses grow their sales via our customer interaction and growth platform.,"021 Capital, Sparrow Capital",2021,1800000.0,Seed Round,Professional Services
Strata,Bengaluru,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Kotak Investment Advisors Limited, Gruhas Proptech",2021,6000000.0,Series A,Real Estate and Construction
Ourbetterplanet,Bengaluru,A curated online marketplace for all things sustainable!,VANS Group,2021,300000.0,Seed Round,E-Commerce and Retail
Murf.ai,Bengaluru,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.",Elevation Capital,2021,1500000.0,Seed Round,Technology
MYFITNESS,Silvassa,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.",9Unicorns,2021,1000000.0,Seed Round,Healthcare and Wellness
I am Love,Mumbai,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Xentel Investments,2021,4000000.0,Seed Round,Healthcare and Wellness
Eloelo,Bengaluru,Creator-led Social Gaming & Live Streaming Platform,"Waterbridge, Lumikai",2021,2000000.0,Pre-Series A,Media and Entertainment
Edukemy,Noida,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.","Auxano, Falcon5",2021,2000000.0,Pre-Series A,Education
Zingbus,Gurugram,Zingbus is a renowned brand in the bus operating industry.,Infoedge ventures,2021,5000000.0,Pre-Series A,Transportation and Mobility
NewsReach,Ahmedabad,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,JITO Angel Network,2021,300000.0,Seed Round,Media and Entertainment
Pencilton,Hyderabad,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",Jupiter,2021,330000.0,Pre-Seed,Finance and FinTech
The Whole Truth,Mumbai,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Sequoia Capital,2021,6000000.0,Series A,Agriculture and Food
Insane AI,Bengaluru,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,pi Ventures,2021,800000.0,Seed Round,Healthcare and Wellness
Learn4o Technology,Jaipur,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",IAN,2021,0.0,Seed Round,Education
Go Swift,Bengaluru,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,Kalaari Capital,2021,2000000.0,Pre-Series A,E-Commerce and Retail
G.O.A.T,Bengaluru,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Tiger Global, Flipkart Ventures",2021,36000000.0,Series A,D2C
Keeros,Lucknow,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.",Venture Catalysts,2021,0.0,Pre-Series A,Agriculture and Food
ReDesyn,Mumbai,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",Anthill Ventures,2021,300000.0,Pre-Series A,Merchandise
Knorish,Gurugram,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",2021,1000000.0,Pre-Series A,Education
Dozee,Bengaluru,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",Prime VP,2021,5000000.0,Series A,Healthcare and Wellness
BlackBuck,Bengaluru,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"Tribe Capital, IFC Emerging Asia Fund, VEF",2021,67000000.0,Series E,Transportation and Mobility
Mailmodo,Bengaluru,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Sequoia’s Surge, Y Combinator",2021,2000000.0,Seed Round,Marketing and Advertising
SuperBeings,Bengaluru,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",Endiya Partners,2021,0.0,Seed Round,Technology
NirogStreet,New Delhi,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2021,2500000.0,Series A,Healthcare and Wellness
Hyreo,Thiruvananthapuram,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,Callapina Capital,2021,0.0,Pre-Series A,Human Resources
Even,Bengaluru,One monthly subscription to cover all your healthcare needs.,Khosla Ventures,2021,5000000.0,Seed Round,Healthcare and Wellness
Captain Fresh,Bengaluru,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,"Accel Partners, Matrix India",2021,12000000.0,Series A,Transportation and Mobility
Otipy,Gurugram,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,"Omidyar Network India, Innoven Capital",2021,10200000.0,Series A,Agriculture and Food
Edvizo,Bengaluru,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Inflection Point Ventures,2021,1000000.0,Pre-Series A,E-Commerce and Retail
GlobalBees,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,"FirstCry, Lightspeed Venture Partners",2021,150000000.0,Series A,D2C Business
Spinny,Gurugram,Spinny is a new age used car end-to-end platform in India.,Tiger Global,2021,108000000.0,Series D,Transportation and Mobility
Mynvax,Bengaluru,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Accel, LetsVenture, 1Crowd",2021,4000000.0,Series A,Healthcare and Wellness
Uvi Health,Bengaluru,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Titan Capital,2021,330000.0,Pre-Seed,Healthcare and Wellness
NFTically,Gurugram,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Jayanti Kanani,2021,0.0,Seed Round,E-Commerce and Retail
HealthifyMe,Bengaluru,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"LeapFrog, Khosla Ventures",2021,75000000.0,Series C,Healthcare and Wellness
CareerNinja,Mumbai,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",Unitus Ventures,2021,0.0,Seed Round,Education
Sea6 Energy,Bengaluru,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",Aqua-Spark,2021,9000000.0,Series B,Healthcare and Wellness
Beco,Mumbai,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",Climate Angels Fund,2021,500000.0,Seed Round,E-Commerce and Retail
MedPay,Bengaluru,MedPay® is building the real-time claims adjudication platform for health insurers.,"Entrepreneur First (EF), GrowX Ventures",2021,1200000.0,Seed Round,Technology
Digantara,Bengaluru,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",Kalaari Capital,2021,2500000.0,Seed Round,Technology
Aqgromalin,Chennai,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,Zephyr Peacock,2021,700000.0,Seed Round,Agriculture and Food
NirogGyan,Gurugram,"Simplifying Diagnostics for labs, doctors, and people.","Healthcare veterans, PIEDS",2021,0.0,Seed Round,Healthcare and Wellness
Ola Electric,Bengaluru,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bank of Baroda,2021,100000000.0,Debt Financing,Transportation and Mobility
Trell,Bengaluru,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Mirae Asset, H&M",2021,45000000.0,Series B,E-Commerce and Retail
EasyAspataal,Mumbai,India’s First Digital Admission Desk for Hospitalisation.,Venture Catalysts,2021,500000.0,Seed Round,Healthcare and Wellness
Arcana,Bengaluru,Arcana is the Storage Layer of Ethereum.,Balaji Srinivasan,2021,370000.0,Seed Round,Technology
Aquaconnect,Chennai,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,"Rebright Partners, Flourish Ventures",2021,4000000.0,Pre-Series A,Fishery
LetsDressUp,Gurugram,Building India's version of Stitch Fix,"Titan Capital, Sequoia Capital",2021,300000.0,Pre-Series A,Consumer Goods
Indi Energy,Roorkee,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Mumbai Angels Network,2021,0.0,Seed Round,Energy and Environment
Ati Motors,Bengaluru,Autonomous industrial vehicle maker,"Blume Ventures, Exfinity Venture Partners",2021,35000000.0,Pre-Series A,Transportation and Mobility
peAR,Mumbai,An AR / VR tech based Start-up in Mumbai.,Inflection Point Ventures,2021,300000.0,Pre-Series A,Technology
The Sleep Company,Mumbai,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,Fireside Ventures,2021,1000000.0,Pre-Series A,E-Commerce and Retail
TyrePlex,New Delhi,Tyreplex is digitizing the tyre dealers in India.,AdvantEdge Founders,2021,0.0,Seed Round,E-Commerce and Retail
ION Energy,Mumbai,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Undisclosed,2021,3600000.0,Pre-Series A,Transportation and Mobility
FRAAZO,Mumbai,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Sixth Sense Ventures, NABVENTURES",2021,11000000.0,Series A,Agriculture and Food
Licious,Bengaluru,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Temasek, Multiples PE",2021,192000000.0,Series F,Agriculture and Food
WinZO,New Delhi,WinZO is the largest social gaming and entertainment platform in India.,Griffin Gaming Partners,2021,65000000.0,Series C,Media and Entertainment
Skylark Drones,Bengaluru,"Enterprise drone solutions that help plan, build, and sustain the world we live in.","InfoEdge Ventures, IAN Fund",2021,3000000.0,Pre-Series A,Aviation
Leegality,Gurugram,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016","IIFL, Mumbai Angels",2021,0.0,Pre-Series A,Technology
PeakPerformer,Bengaluru,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.",Antler India,2021,0.0,Seed Round,Education
MyMobiForce,Noida,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",Bharat Inclusion,2021,1400000.0,Pre-Series A,Internet
Neverinstall,Bengaluru,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,Speciale Invest,2021,370000.0,Seed Round,Technology
BeatO,New Delhi,ULTIMATE app to manage chronic conditions.,W Health Ventures,2021,5000000.0,Pre-Series A,Healthcare and Wellness
Earth Rhythm,Gurugram,A mission to make customers healthier and Earth a little greener.,Anicut Angel Fund,2021,1200000.0,Seed Round,Cosmetics
Fountain9,Mumbai,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","021 Capital, Y Combinator",2021,1900000.0,Seed Round,Technology
CanPe,Bengaluru,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Axilor Ventures,2021,0.0,Seed Round,Technology
Shiprocket,New Delhi,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"March Capital, Tribe Capital",2021,41000000.0,Series D,Transportation and Mobility
Teachmint,Bengaluru,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,Learn Capital,2021,20000000.0,Pre-Series A,Education
Vahak,Bengaluru,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,RTP Global,2021,5000000.0,Pre-Series A,Transportation and Mobility
goSTOPS,New Delhi,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"IAN, Yuj Ventures",2021,1000000.0,Pre-Series A,Technology
Codedamn,New Delhi,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Antler India,2021,0.0,Pre-Seed,Technology
Biocraft Innovation Technology,Noida,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,JITO Angel Network,2021,0.0,Pre-Seed,Energy and Environment
Delhivery,Gurugram,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Fidelity, GIC",2021,270000000.0,Series H,Transportation and Mobility
Avishkaar,New Delhi,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,Auxano,2021,600000.0,Pre-Series A,Education
Jobsgaar,New Delhi,India's first District level/ Hyper Local Job discovery platform,SucSEED Indovation Fund,2021,140000.0,Seed Round,Technology
Almo,Gurugram,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Angelist India,2021,0.0,Seed Round,Consumer Goods
Breathe Well-being,New Delhi,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Stanford Angels and Entrepreneurs India, Anjali Bansal",2021,1000000.0,Pre-Series A,Healthcare and Wellness
GalaxEye,Chennai,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,Speciale Invest,2021,0.0,Pre-Seed,Technology
Urban Company,New Delhi,Urban Company is an India-based company providing a marketplace for freelance labor.,"Vy Capital, Wellington Management",2021,250000000.0,Series F,Home services
MYBYK,Ahmadabad,MYBYK is an app that provides premium bicycle sharing and rental service.,Avon Cycles,2021,1000000.0,Pre-Series A,Real Estate and Construction
Locus,Bengaluru,Locus is an intelligent decision-making and automation platform for logistics.,"Blume Ventures, Exfinity Venture Partners",2021,50000000.0,Series C,Transportation and Mobility
Crejo.Fun,Bengaluru,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,"Matrix Partners India, 021 Capital",2021,3000000.0,Seed Round,Education
Bambinos,Bengaluru,Cohort based extracurricular course for kids,"HNIs, Angels",2021,500000.0,Seed Round,Education
Spardha,Pune,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.",Inflection Point Ventures,2021,400000.0,Pre-Series A,Education
Fable Fintech,Mumbai,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Paytm,2021,0.0,Series A,Finance and FinTech
Fyllo,Bengaluru,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Indian Angel Network, Titan Capital, Lead Angels",2021,400000.0,Seed Round,Agriculture and Food
Swiflearn,Gurugram,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Venture Highway, Stellaris Venture Partners",2021,3000000.0,Pre-Series A,Education
QuickSell,Mumbai,B2B Mobile Commerce Platform,"Sanjay Baldwa, Ajay Jain",2021,2000000.0,Pre-Series A,E-Commerce and Retail
Truemeds,Mumbai,Truemeds is a health-tech startup.,InfoEdge,2021,5000000.0,Series A,Healthcare and Wellness
F5,New Delhi,F5 is a foods and beverages company.,"Venture Catalysts, Jeevak Gupta",2021,300000.0,Pre-Series A,Agriculture and Food
IntelleWings,Panchkula,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Undisclosed,2021,100000.0,Seed Round,Technology
Refyne,Bengaluru,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"DST Global, RTP Global",2021,20000000.0,Series A,Finance and FinTech
Greenjoules,Pune,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,Blue Ashva Capital,2021,4500000.0,Series A,Energy and Environment
MentorKart,New Delhi,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Amit Singal, Manish Aggarwal",2021,150000.0,Seed Round,Professional Services
Leverage Edu,New Delhi,AI-enabled marketplace designed to help students with their higher education and career growth plans,"Trifecta Capital Advisors, Blume Ventures",2021,2000000.0,Debt Financing,Education
Kale Logistics,Thane,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,Inflexor Ventures,2021,5000000.0,Series A,Transportation and Mobility
Pee Safe,Gurugram,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Shaival Desai, Alkemi Venture Partners",2021,3000000.0,Pre-Series A,Healthcare and Wellness
SimpliContract,Bengaluru,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",Kalaari Capital,2021,1800000.0,Seed Round,Technology
Dropshop,Bengaluru,Building technology to make distribution efficient and cheaper for large and small FMCG companies,Inflection Point Ventures,2021,1000000.0,Pre-Series A,Transportation and Mobility
Jumbotail,Bengaluru,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,Alteria Capital,2021,4000000.0,Debt Financing,E-Commerce and Retail
Convosight,New Delhi,A mission - to help community builders become community entrepreneurs.,Qualgro,2021,9000000.0,Series A,Technology
Junio,New Delhi,Junio is a kids-focused digital pocket money-smart card.,"Amit Lakhotia, Pravin Jadhav",2021,600000.0,Seed Round,Finance and FinTech
Wherehouse.io,New Delhi,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",Better Capital,2021,0.0,Seed Round,Transportation and Mobility
Flexmoney,Mumbai,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Pravega Ventures,2021,4800000.0,Series A,Finance and FinTech
Fampay,Bengaluru,India's first numberless card and UPI without a bank account,"Greenoaks Capital, Elevation Capital",2021,38000000.0,Series A,Finance and FinTech
Apna,Bengaluru,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,"Sequoia Capital India, rocketship.vc",2021,70000000.0,Series B,Human Resources
XYXX Apparels,Surat,"XYXX Apparels,which runs an eponymous innerwear brand",Undisclosed,2021,4000000.0,Series A,Consumer Goods
BrowserStack,Mumbai,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,Accel,2021,200000000.0,Series B,Technology
Vital,New Delhi,"An affordable, digital health plan built around to cover both big and small expenses",BLinC Invest,2021,3000000.0,Pre-Series A,Technology
Imagimake,Mumbai,An innovative play system to help children create their imagination,"Roha Investment Managers, angel investor Saumil Shah",2021,500000.0,Pre-Series A,Innovation management
MSMEx,Andheri,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"TNF Ventures, Razorpay",2021,1000000.0,Pre-Series A,Education
RenewBuy,Gurugram,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Lok Capital, IIFL Asset Management",2021,45000000.0,Series C,Technology
saarthi.ai,Bengaluru,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,Nvidia Inception,2021,0.0,Seed Round,Technology
Kutumb,Bengaluru,Kutumb is a social community enabler.,"Tiger Global Management, DST Global",2021,26000000.0,Series A,Technology
Superplum,Noida,Building India's most sophisticated platform for high quality fresh food,Marquee investors,2021,3800000.0,Pre-Series A,Agriculture and Food
Upside AI,Mumbai,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,Endiya Partners,2021,1200000.0,Seed Round,Finance and FinTech
Skillmatics,Mumbai,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Sequoia Capital India,2021,6000000.0,Series A,Education
Bimaplan,Bengaluru,Affordable insurance for the next billion Indians,"Roshan Abbas, Ritesh Malik",2021,2500000.0,Pre-Series A,Technology
Bueno Finance,Gurugram,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Goat Capital, JAM Fund",2021,3000000.0,Seed Round,Finance and FinTech
CityMall,Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"General Catalyst, Jungle Ventures",2021,22000000.0,Series B,E-Commerce and Retail
The Switch Fix,Gurugram,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Venture Catalysts, 9unicorns",2021,0.0,Seed Round,Healthcare and Wellness
Anvidha Technologies,Chandigarh,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Undisclosed,2021,1500000.0,Seed Round,Technology
DigiSparsh,Mumbai,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,GoAhead Ventures,2021,0.0,Seed Round,Finance and FinTech
CoffeeMug.ai,New Delhi,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Paradigm Shift Capital, AngelList India",2021,620000.0,Pre-Seed,Technology
Pathfndr.io,Bengaluru,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Arali Ventures,2021,0.0,Pre-Series A,Technology
Kazam,Bengaluru,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",Inflection Point Ventures,2021,900000.0,Seed Round,Transportation and Mobility
BimaPe,Mumbai,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',"iSeed, Titan Capital",2021,500000.0,Pre-Seed,Finance and FinTech
Synapsica,New Delhi,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"IvyCap Ventures, Endiya Partners",2021,4000000.0,Series A,Healthcare and Wellness
Kwik Foods,Gurugram,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,9Unicorns,2021,0.0,Seed Round,Agriculture and Food
GoMechanic,Gurugram,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.","Tiger Global, Sequoia",2021,42000000.0,Series C,Transportation and Mobility
Green Cure,New Delhi,World's first company to combine German Engineering with Indian Ayurveda in health products,Venture Catalysts,2021,0.0,Pre-Series A,Healthcare and Wellness
Classplus,Noida,Classplus was born out of an urge to redefine classroom engagement in this country.,Tiger Global,2021,65000000.0,Series C,Education
WINDO,Hyderabad,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,Unicorn India Ventures,2021,500000.0,Seed Round,E-Commerce and Retail
ApnaKlub,Bengaluru,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Blume Ventures, Whiteboard Capital",2021,0.0,Pre-Series A,E-Commerce and Retail
GoBolt,Gurugram,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Paragon Partners, Aavishkaar Capital",2021,20000000.0,Series B,Transportation and Mobility
Loco,Bengaluru,Loco is India's leading live game streaming app.,"Krafton, Lumikai",2021,9000000.0,Seed Round,Media and Entertainment
Auric,New Delhi,Contemporary Beauty & Wellness Brand Based on Ayurveda,Venture Catalysts,2021,2000000.0,Pre-Series A,Healthcare and Wellness
Humit,Bengaluru,Humit is a social networking app for music sharing and discovery.,Antler India,2021,0.0,Pre-Seed,Media and Entertainment
Airblack,Gurugram,Airblack is on a mission to help people convert their passion to a livelihood.,"Edge Ventures, Elevation Capital",2021,5200000.0,Series A,Technology
Intervue,New Delhi,World's fastest collaborative environment to take tech interviews.,"Titan Capital, Kunal Shah",2021,0.0,Seed Round,Technology
Nestroots,Gurugram,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",We Founder Circle,2021,100000.0,Seed Round,Consumer Goods
TABLT,Kolkata,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Siti Cable,2021,3000000.0,Seies A,Healthcare and Wellness
Hesa,Hyderabad,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Venture Catalysts, 9unicorns",2021,2000000.0,Seed Round,Technology
Powerhouse91,Gurugram,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.",Crossbeam Venture Partners,2021,0.0,Seed Round,E-Commerce and Retail
