Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount($),Stage,Sector
Lendingkart,Gujarat,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Bertelsmann India Investments, Fullerton Financial Holdings",2021,15000000.0,Debt Financing,Finance and FinTech
CRED,Bengaluru,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,"Dragoneer Investment Group, Tiger Global Management",2021,215000000.0,Series D,Finance and FinTech
Karnival,Bengaluru,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,http://100x.vc/,2021,2500000.0,Seed Round,Technology
PharmEasy,Mumbai,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","TPG Growth, Caisse de Depot et Placement du Quebec",2021,350000000.0,Series E,Healthcare and Wellness
WESS,Mumbai,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Centrum Financial Services,2021,2000000.0,Seed Round,Energy and Environment
ShopSe,Mumbai,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Chiratae Ventures, BEENEXT",2021,5500000.0,Undisclosed,Finance and FinTech
Fantasy Akhada,Gurugram,Fantasy Akhada offers fantasy sports platform for cricket and football.,Harsha Bhogle,2021,600000.0,Undisclosed,Media and Entertainment
Rage Coffee,New Delhi,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,"GetVantage, Prakash Katama",2021,0.0,Pre-Series A,Agriculture and Food
Groww,Bengaluru,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Tiger Global Management, Y Combinator Continuity Fund",2021,83000000.0,Series D,Finance and FinTech
Avanti Finance,Bengaluru,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Michael & Susan Dell Foundation,2021,26000000.0,Series A,Finance and FinTech
Kudos,Pune,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Marquee fintech founders,2021,0.0,Pre-Series A,Finance and FinTech
OfBusiness,Gurugram,OfBusiness is a financing platform that offers smart financing to SMEs.,"Falcon Edge India, Norwest Venture Partners",2021,110000000.0,Undisclosed,Finance and FinTech
Superpro.ai,Bengaluru,Enabling independent professionals to bring offline consulting online with AI,"SOSV, Omphalos Ventures India",2021,3000000.0,Seed Round,Media and Entertainment
ShareChat,Bengaluru,ShareChat is a social networking and regional content platform.,"Twitter Ventures, Pawan Munjal",2021,500000000.0,Undisclosed,Media and Entertainment
WiT-ACE,Gurugram,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",CitiusTech,2021,1000000.0,Seed Round,Transportation and Mobility
Spinny,Gurugram,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Arena Holdings, Think Investments",2021,65000000.0,Series C,E-Commerce and Retail
Alteria Capital,Mumbai,Alteria Capital is a Venture debt firm .,Undisclosed,2021,150000000000.0,Debt Financing,Finance and FinTech
Safexpay,Thane,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,"T Choithrams BVI, Ardor",2021,6000000.0,Undisclosed,Finance and FinTech
PumPumPum,Gurugram,Pumpumpum is a car rental company.,"Kogta Financial India Limited, ICICI Bank",2021,700000.0,Pre-Series A,Real Estate and Construction
Speciale Invest,Bengaluru,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,Undisclosed,2021,10000000.0,Undisclosed,Finance and FinTech
Eunimart,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"SucSEED Venture Partners, TMT Connekt",2021,700000.0,Pre-Series A,E-Commerce and Retail
Meesho,Bengaluru,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"SAIF Partners, Venture Highway",2021,300000000.0,Undisclosed,E-Commerce and Retail
CareerLabs,Bengaluru,"Aim to help students become future-ready, setting them on a path to success that suits them best.",Global Founders Capital,2021,2200000.0,Undisclosed,Education
Uable,Bengaluru,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,"JAFCO Asia, Chiratae Ventures",2021,35000000.0,Pre-Series A,Education
Zoko,Bengaluru,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",Y Combinator,2021,140000000.0,Seed Round,Technology
GetWork,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Artha Venture Fund,2021,200000.0,Seed Round,Technology
Easebuzz,Pune,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,"Jitendra Gupta, Amrish Rau",2021,4000000.0,Series A,E-Commerce and Retail
Chingari,Bengaluru,Chingari operates as a short video platform.,"FJ Labs, Brian Norgard",2021,13000000.0,Undisclosed,Media and Entertainment
DusMinute,Bengaluru,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Indian Angel Network,2021,1100000.0,Pre-Series A,E-Commerce and Retail
Onsurity,Bengaluru,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Jitendra Gupta, Harsh Shah",2021,0.0,Undisclosed,Healthcare and Wellness
Karbon Card,Bengaluru,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,Y Combinator,2021,0.0,Undisclosed,Finance and FinTech
Factors.AI,Bengaluru,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Elevation Partners, Emergent Ventures",2021,2000000.0,Undisclosed,Technology
